STATUS,PRIORITY,START DATE,END DATE,DURATION,TASK NAME,ASSIGNEE,DESCRIPTION,MAN-DAY
"⬜ TODO","🔴 P0","2026-07-28","2026-07-30","3d","Spec & API Contract Finalization","Tech Lead","ปิดคำถาม stack ที่เหลือ: เลือก ORM (Prisma/Drizzle/Knex), Design System (MUI/Ant Design/Tailwind), Repo topology (mono/split), finalize OpenAPI spec","3"
"⬜ TODO","🔴 P0","2026-07-28","2026-07-31","4d","Database Schema + Migration Scripts","API Dev","สร้าง project schema ทั้ง 16 ตาราง (status, registration, entry, entry_revision, entry_file, entry_product, entry_task, status_request, approval, status_log, notification, dealer, team, team_user, running_number, config) + auth.user, seed master data 13 statuses + 10 teams + 5 reasons, indexes + pg_trgm","4"
"⬜ TODO","🟡 P1","2026-07-30","2026-07-31","2d","Design System Setup","UI Dev","เลือก+ติดตั้ง component library, สร้าง theme/token, layout shell, responsive breakpoint framework, shared components (DataTable, SearchBar, FilterBar, StatusBadge, ApprovalCard)","2"
"⬜ TODO","🔴 P0","2026-08-01","2026-08-06","6d","SSO/OAuth2 Integration (BFF Pattern)","API Dev","Callback route GET /auth/callback, token exchange code→access/refresh server-side only, session layer httpOnly cookie, refresh rotation logic, logout, JWT verification preHandler RS256, auth.user auto-provisioning","6"
"⬜ TODO","🔴 P0","2026-08-07","2026-08-14","8d","API: Core Services (Running Number + Duplicate Check + State Machine + Revision)","API Dev","ProjectRunning service (PRJ-YYYY-MM-XXXX with SELECT FOR UPDATE), duplicate-check (normalize org+project+dealer + pg_trgm similarity warnings + nextEntrySequence), Entry status state machine 13 states all transitions + Reject→presented recovery, Project-status aggregation derived open/won/lost/closed, Revision service draft clone + submit→reapprove + current/superseded swap in transaction","8"
"⬜ TODO","🟡 P1","2026-08-01","2026-08-05","5d","UI: Auth Layer + App Shell","UI Dev","เข้าสู่ระบบ button→API login endpoint, session state management, protected route wrapper, logout, sidebar menu role-based from JWT roles, notification bell skeleton, API client setup VITE_API_BASE_URL","3"
"⬜ TODO","🟡 P1","2026-08-06","2026-08-08","3d","UI: ProjectRegister ALL List","UI Dev","Server-side paging/sort/filter (team/sales/due date/status), StatusBadge component, Project badge derived status, sortable column headers ▲/▼, due-date color coding red<30/yellow<90/green, day count indicator","3"
"⬜ TODO","🔴 P0","2026-08-15","2026-08-19","5d","API: Register CRUD + File Upload + Leader + Notification Routes","API Dev","Route plugins: register intake create/update Entry+Revision, file attachment @fastify/multipart validate type/size ≤10MB rename {ProjectCode}_{TIMESTAMP}_{Seq}, leader assignment single pointer Manager-only >1 Entry gate, notification service near-due computed query + event writer for collapse/approval","5"
"⬜ TODO","🟡 P1","2026-08-09","2026-08-16","8d","UI: Create/Edit Register Form + PM Task Table","UI Dev","Register form org+project+dealer search/add modal, PM task table 3-level auto-calc Amt/GP% client-side, duplicate-check modal show match/warning choose new Project or join existing as additional Entry, file attachment upload multipart progress bar error display, all required-field validations client-side","6"
"⬜ TODO","🟡 P1","2026-08-17","2026-08-19","3d","UI: To-Do List + Status Update Forms","UI Dev","5 summary cards ทั้งหมด/รออนุมัติ/โดน Reject/ใกล้ครบกำหนด/อนุมัติแล้ว with counts + click-to-filter, status-update forms Won 2-tier/Lost แพ้ 2-tier/Lost ล่ม close immediately no approval/Postpone 1-tier/Edit-request round-1 request + round-2 draft→re-submit, Reject-reason history split by approver role","5"
